molecule_chembl_id,canonical_smiles,pIC50,MW,LogP,TPSA
CHEMBL2424899,COc1ccc2nccc(C(O)C[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,4.522878745280337,481.57800000000026,2.8385000000000007,118.49000000000001
CHEMBL4086418,CCNC(=O)Nc1cc2c(-c3ccnc(C)c3)ccc(C)c2cn1,4.522878745280337,320.3960000000001,4.055040000000003,66.91
CHEMBL2424885,COc1ccc2nccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,4.522878745280337,497.5770000000003,1.8092999999999997,138.72
CHEMBL2424883,COc1ccc2nccc(CC[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,4.522878745280337,465.5790000000002,3.3476000000000017,98.26
CHEMBL2424876,COc1ccc2ncc(F)c([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,4.522878745280337,486.50000000000034,1.6754,128.08
CHEMBL2424836,COc1cnc2cccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,4.522878745280337,497.5770000000003,1.8092999999999997,138.72
CHEMBL2424893,COc1ccc2nccc(NC(=O)[C@H]3CC[C@H](NCc4ccc5c(n4)NC(=O)CS5)CC3)c2n1,4.522878745280337,478.5780000000003,3.364700000000002,118.13000000000001
CHEMBL2424890,COc1ccc2cccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,4.522878745280337,496.5890000000003,2.4143,125.83000000000001
CHEMBL2424889,COc1ccc2nccc([C@H](O)[C@@H](O)[C@H]3CC[C@H](NCc4ccc5c(n4)NC(=O)CS5)CO3)c2n1,4.522878745280337,497.5770000000003,1.8092999999999997,138.72
CHEMBL2424886,COc1ccc2nccc([C@@H](O)[C@H](O)[C@@H]3CC[C@@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,4.522878745280337,468.51000000000033,1.5362999999999998,128.08
CHEMBL2165064,N#Cc1ccc2ccc(=O)n(CCN3CC[C@H](NCc4cc5c(cn4)OCCO5)[C@H](F)C3)c2c1,4.522878745280337,463.51300000000026,2.24158,92.41000000000001
CHEMBL4877845,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc5c(c4)OCCO5)CO3)c2c1,4.508638306165727,470.4970000000003,2.5884,91.30000000000001
CHEMBL4874918,CCN(C(=O)c1[nH]c(C)c(Cl)c1Cl)c1nc2ccc(C(=O)O)cc2s1,4.494850021680094,398.27100000000013,4.604520000000002,86.29
CHEMBL4752708,Cc1[nH]c(C(=O)Nc2nc3ccc(NC(=O)C(=O)O)cc3s2)c(Cl)c1Cl,4.42021640338319,413.2420000000001,3.5150200000000007,124.17999999999999
CHEMBL4865826,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(cn4)OCCO5)CO3)c2n1,4.4089353929735005,472.4730000000003,1.3783999999999994,117.08000000000001
CHEMBL4787821,COc1ccc2nccc(CC[C@H]3OC[C@H](NC(=O)c4ccc5c(n4)NC(=O)CO5)CO3)c2c1,4.3979400086720375,464.47800000000024,2.0733999999999995,120.9
CHEMBL4853297,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4cc5c(cn4)OCCO5)CO3)c2c1,4.376750709602099,471.4850000000003,1.9833999999999996,104.19000000000001
CHEMBL4855186,COc1ccc2ccc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc(Cl)c(Cl)c4)CO3)c2n1,4.366531544420414,481.3510000000002,4.124000000000003,72.84
CHEMBL4850231,COc1cc(C(=O)O)cc2sc(NC(=O)c3[nH]c(C)c(Cl)c3Cl)nc12,4.356547323513813,400.24300000000017,4.198720000000002,104.30999999999999
CHEMBL5200272,O=c1ccc2ncc(F)c3c2n1CC3C[C@H]1OC[C@H](NCc2ccc3c(c2)OCCO3)CO1,4.327902142064283,453.4700000000003,2.3254,83.84000000000002
CHEMBL3317856,O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,4.327902142064283,448.5270000000003,1.0870999999999995,94.28
CHEMBL4858015,Cc1[nH]c(C(=O)Nc2nc3c(OCCN)cc(C(=O)O)cc3s2)c(Cl)c1Cl.Cl,4.318758762624412,465.74600000000004,3.9494200000000013,130.32999999999998
CHEMBL5417501,COc1ccc2nccc(OC[C@@H]3CC[C@@H](NCc4cc(F)c(Br)c(F)c4)CO3)c2n1,4.251811972993799,494.3360000000001,4.395300000000003,65.5
CHEMBL4875838,COc1ccc2ncc(F)c(C[C@H](O)[C@H]3OC[C@H](NCc4ccc(Cl)c(Cl)c4)CO3)c2c1,4.251811972993799,481.35100000000017,4.124000000000002,72.84
